[2021-03-11 15:13:59.596] Volt1= 2.5692 Rs1= 2000 RsCur3=0 Rair=0 LED=N
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2100 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2200 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2300 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2400 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2500 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2600 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2700 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2800 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 2900 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3000 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3100 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3200 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3300 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3400 RsCur1=3616 Rsair1=3616 LED1=B
[2021-03-11 15:13:59.596] Volt1= 2.4192 Rs1= 3500 RsCur1=3616 Rsair1=3616 LED1=B
